No,late_w1,late_w2,late_w3,late_w4,late_w5,late_w6,late_w7,late_w8,late_w9,late_w10,late_w11,late_w12,late_w13,late_w14,late_w15,late_w16,late_w17,late_w18,late_w19,late_w20,late_w21,late_w22,late_w23,late_w24,late_w25,late_w26,late_w27,late_w28,late_w29,late_w30,late_w31,late_w32,late_w33,late_w34,late_w35,late_w36,late_w37,late_w38,late_w39,late_w40,late_w41,late_w42,late_w43,late_w44,late_w45,late_w46,late_w47,late_w48,late_w49,over_w1,over_w2,over_w3,over_w4,over_w5,over_w6,over_w7,over_w8,over_w9,over_w10,over_w11,over_w12,over_w13,over_w14,over_w15,over_w16,over_w17,over_w18,over_w19,over_w20,over_w21,over_w22,over_w23,over_w24,over_w25,over_w26,over_w27,over_w28,over_w29,over_w30,over_w31,over_w32,over_w33,over_w34,over_w35,over_w36,over_w37,over_w38,over_w39,over_w40,over_w41,over_w42,over_w43,over_w44,over_w45,over_w46,over_w47,over_w48,over_w49,hol_w1,hol_w2,hol_w3,hol_w4,hol_w5,hol_w6,hol_w7,hol_w8,hol_w9,hol_w10,hol_w11,hol_w12,hol_w13,hol_w14,hol_w15,hol_w16,hol_w17,hol_w18,hol_w19,hol_w20,hol_w21,hol_w22,hol_w23,hol_w24,hol_w25,hol_w26,hol_w27,hol_w28,hol_w29,hol_w30,hol_w31,hol_w32,hol_w33,hol_w34,hol_w35,hol_w36,hol_w37,hol_w38,hol_w39,hol_w40,hol_w41,hol_w42,hol_w43,hol_w44,hol_w45,hol_w46,hol_w47,hol_w48,hol_w49,breakt_w1,breakt_w2,breakt_w3,breakt_w4,breakt_w5,breakt_w6,breakt_w7,breakt_w8,breakt_w9,breakt_w10,breakt_w11,breakt_w12,breakt_w13,breakt_w14,breakt_w15,breakt_w16,breakt_w17,breakt_w18,breakt_w19,breakt_w20,breakt_w21,breakt_w22,breakt_w23,breakt_w24,breakt_w25,breakt_w26,breakt_w27,breakt_w28,breakt_w29,breakt_w30,breakt_w31,breakt_w32,breakt_w33,breakt_w34,breakt_w35,breakt_w36,breakt_w37,breakt_w38,breakt_w39,breakt_w40,breakt_w41,breakt_w42,breakt_w43,breakt_w44,breakt_w45,breakt_w46,breakt_w47,breakt_w48,breakt_w49,off_w1,off_w2,off_w3,off_w4,off_w5,off_w6,off_w7,off_w8,off_w9,off_w10,off_w11,off_w12,off_w13,off_w14,off_w15,off_w16,off_w17,off_w18,off_w19,off_w20,off_w21,off_w22,off_w23,off_w24,off_w25,off_w26,off_w27,off_w28,off_w29,off_w30,off_w31,off_w32,off_w33,off_w34,off_w35,off_w36,off_w37,off_w38,off_w39,off_w40,off_w41,off_w42,off_w43,off_w44,off_w45,off_w46,off_w47,off_w48,off_w49,half_w1,half_w2,half_w3,half_w4,half_w5,half_w6,half_w7,half_w8,half_w9,half_w10,half_w11,half_w12,half_w13,half_w14,half_w15,half_w16,half_w17,half_w18,half_w19,half_w20,half_w21,half_w22,half_w23,half_w24,half_w25,half_w26,half_w27,half_w28,half_w29,half_w30,half_w31,half_w32,half_w33,half_w34,half_w35,half_w36,half_w37,half_w38,half_w39,half_w40,half_w41,half_w42,half_w43,half_w44,half_w45,half_w46,half_w47,half_w48,half_w49,worktime_w1,worktime_w2,worktime_w3,worktime_w4,worktime_w5,worktime_w6,worktime_w7,worktime_w8,worktime_w9,worktime_w10,worktime_w11,worktime_w12,worktime_w13,worktime_w14,worktime_w15,worktime_w16,worktime_w17,worktime_w18,worktime_w19,worktime_w20,worktime_w21,worktime_w22,worktime_w23,worktime_w24,worktime_w25,worktime_w26,worktime_w27,worktime_w28,worktime_w29,worktime_w30,worktime_w31,worktime_w32,worktime_w33,worktime_w34,worktime_w35,worktime_w36,worktime_w37,worktime_w38,worktime_w39,worktime_w40,worktime_w41,worktime_w42,worktime_w43,worktime_w44,worktime_w45,worktime_w46,worktime_w47,worktime_w48,worktime_w49,workday_w1,workday_w2,workday_w3,workday_w4,workday_w5,workday_w6,workday_w7,workday_w8,workday_w9,workday_w10,workday_w11,workday_w12,workday_w13,workday_w14,workday_w15,workday_w16,workday_w17,workday_w18,workday_w19,workday_w20,workday_w21,workday_w22,workday_w23,workday_w24,workday_w25,workday_w26,workday_w27,workday_w28,workday_w29,workday_w30,workday_w31,workday_w32,workday_w33,workday_w34,workday_w35,workday_w36,workday_w37,workday_w38,workday_w39,workday_w40,workday_w41,workday_w42,workday_w43,workday_w44,workday_w45,workday_w46,workday_w47,workday_w48,workday_w49
4030002,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,4,4,4,2,4,3,1,0,0,0,0,1,5,3,1,3,3,4,2,5,3,6,2,6,0,3,6,4,2,6,5,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,3,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,3,0,2,2,4,1,2,2,5,9,2,0,3,4,4,3,4,0,5,0,2,2,2,3,0,3,5,5,4,3,3,12,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1122,1145,2991,3659,991,3585,3144,3368,2632,3286,3645,3478,1718,2845,2837,2265,3046,4112,3748,2937,3419,3748,4057,3742,4169,3500,4437,3041,4426,2884,3308,4403,3493,3307,4069,4828,3427,3385,3003,3103,3213,3711,0,0,0,0,0,0,0,3,2,5,5,2,5,5,5,4,5,5,5,3,5,5,4,5,6,6,5,5,6,6,6,6,6,6,4,6,5,5,6,5,4,7,6,5,6,5,6,6,5,1
4030004,0,0,0,0,0,0,0,0,3,0,4,0,2,2,2,2,0,1,1,2,1,3,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,1,3,2,1,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,1,2,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,13,10,10,14,17,9,19,9,5,15,18,11,20,12,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2941,4240,4575,3814,3696,4140,3144,3402,4303,3187,2506,4805,3511,3189,3751,3467,2511,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,6,6,7,6,7,7,6,4,7,6,5,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4030006,0,0,0,0,0,0,0,0,2,2,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,6,9,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2196,3891,3051,2842,2799,3405,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,4,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4030008,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,1,0,0,0,1,2,1,1,0,0,0,0,2,0,1,1,0,0,0,1,4,0,0,2,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,7,5,3,6,4,2,2,11,8,1,3,6,13,9,4,5,1,2,3,7,8,3,2,3,6,3,7,10,3,8,26,1,4,12,3,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229,3308,4395,3334,3226,2888,3396,3190,2800,2661,2315,3631,3102,3034,3310,3355,3301,3140,3084,3186,3118,3468,2987,2627,2777,3086,3128,2981,3200,3725,3040,1824,2914,3730,2476,2898,2884,2980,3562,3094,0,0,0,0,0,0,0,0,0,3,6,6,5,5,4,5,5,5,4,4,5,5,5,6,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,1
4030010,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,1,2,3,1,5,3,4,3,5,5,4,5,4,4,4,4,5,4,4,5,4,4,5,5,2,2,2,1,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2,1,3,2,3,1,2,2,0,2,5,3,2,3,1,2,2,5,3,6,1,4,0,2,6,3,4,5,6,3,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,3,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,10,14,13,17,18,9,17,19,15,12,23,10,9,17,22,23,6,10,11,15,19,24,21,36,23,27,14,17,31,17,27,53,40,68,16,11,6,30,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2709,3152,2738,3277,3210,2900,2758,3745,2909,1757,3068,2597,1998,3163,4389,3492,2543,3238,2101,3229,2756,3963,3839,4300,2522,3902,2210,2669,4463,3339,3341,3957,4648,4001,2257,1939,1463,2944,4675,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,4,6,4,3,5,4,4,5,6,6,4,5,4,6,5,6,6,6,4,6,4,4,6,5,4,7,6,7,4,4,3,5,6,1
4030012,0,0,0,0,0,0,0,0,0,2,0,2,2,2,5,4,5,4,2,4,5,4,5,5,5,5,5,4,4,5,5,4,5,3,5,5,4,3,5,4,5,5,4,5,5,4,4,5,0,0,0,0,0,0,0,0,0,0,3,3,1,3,4,2,4,3,3,1,1,3,1,2,5,4,3,3,3,2,3,4,4,7,1,4,0,2,3,2,4,5,5,3,2,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,2,0,1,0,0,1,0,2,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30,43,19,19,27,50,52,37,35,13,17,30,15,28,49,38,29,27,20,47,43,30,33,69,25,43,23,27,28,34,32,58,44,53,22,22,15,30,35,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2765,3829,2936,3386,3328,3971,3885,4108,3230,1727,2361,3665,2192,3221,4600,3761,3291,3668,3370,3557,3891,3823,3935,4974,2554,4053,2715,2712,2616,3152,3424,4100,4373,3064,3087,3211,2644,3057,3971,0,0,0,0,0,0,0,0,0,0,5,6,5,5,5,7,6,6,5,3,4,6,4,5,6,6,5,6,5,6,6,6,6,7,4,6,5,4,4,5,5,7,6,5,5,5,4,6,6,1
4030014,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,1,0,3,3,2,0,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,1,3,3,2,4,2,3,2,4,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,2,0,2,2,2,3,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,5,4,7,15,5,6,3,6,9,7,18,5,4,5,7,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2507,4272,4261,4911,3780,4343,3774,3979,2990,3318,4659,4713,4039,3313,4431,3746,2841,3524,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,7,6,7,6,7,4,6,7,7,7,6,6,6,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4030016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,2,1,1,0,0,0,1,0,1,2,2,3,3,2,2,2,2,1,0,3,1,1,4,1,3,2,3,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,2,0,0,3,1,3,0,2,1,2,6,4,10,4,1,0,2,3,3,0,7,4,9,1,0,4,1,14,8,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2331,2587,3621,1840,3788,3423,2726,2817,2879,3242,2289,2952,2839,3410,3915,3547,4540,4199,3765,3758,2984,2744,2757,2523,3200,3206,3033,3968,1842,2817,3185,3445,2777,2940,3309,3444,3719,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,5,6,6,5,4,5,6,4,5,5,5,6,5,7,6,6,6,4,4,4,5,5,6,5,6,3,4,5,5,5,5,5,5,5,1
4030018,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,2,4,4,4,3,3,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,4,5,3,4,5,4,4,5,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,3,4,3,2,4,2,1,3,5,5,3,3,2,4,4,4,2,5,1,4,0,3,3,3,4,6,5,3,0,2,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,3,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,12,8,22,13,21,8,12,16,11,13,10,21,19,20,9,14,28,19,16,14,22,8,21,7,12,15,12,14,34,28,32,12,9,5,15,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2418,3575,3369,2855,3403,4538,2995,2559,4309,2647,2720,3563,4393,4193,3301,3319,3634,3903,3808,3889,2560,4357,1760,3960,2763,3367,3247,3378,3138,4189,5377,3301,2259,2771,3333,3573,4509,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,7,4,4,7,4,5,5,6,6,5,5,6,6,6,6,4,6,3,6,5,5,5,5,4,7,7,7,4,5,5,6,6,1
4030020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,1,2,4,4,0,2,0,0,0,0,0,1,1,3,1,1,2,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,6,10,10,6,7,5,12,3,14,2,5,7,13,6,12,7,5,9,4,7,7,5,7,6,1,2,0,0,2,9,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,2842,2895,3177,3191,3019,2707,2297,3256,2450,3295,3881,3646,2903,3296,2869,2859,2825,2868,2851,2906,2480,3169,3108,3138,3244,2908,2783,1695,2229,2808,2776,2789,3012,2957,2403,2910,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,5,5,5,4,4,5,4,6,6,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,4,5,5,5,5,5,4,5,0
4030022,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,1,2,4,2,2,3,3,1,4,1,0,2,3,1,1,0,1,3,3,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,4,2,3,4,3,2,4,2,2,3,3,3,3,3,2,3,3,3,2,4,4,3,3,1,1,4,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,1,1,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,33,12,16,25,22,17,23,17,13,17,18,21,20,15,9,11,28,22,19,26,19,35,44,34,39,17,30,21,23,36,35,24,36,25,38,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,596,3570,3447,3365,3705,3845,3167,3383,4168,3573,3090,3230,3481,3316,3535,3501,3525,3620,3173,3642,3888,2788,4062,4178,3845,4028,3501,3893,1688,2116,3865,3578,3229,3367,3996,4552,3185,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,5,5,5,5,6,5,5,5,4,5,5,5,5,5,5,5,6,6,4,7,6,5,6,5,6,3,5,6,5,5,5,6,7,6,1
4030024,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,5,4,3,5,5,4,4,5,5,5,5,3,4,4,5,5,3,5,3,5,4,5,5,4,4,5,5,4,5,4,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,1,1,4,0,2,3,3,0,0,0,0,1,0,0,1,1,0,0,0,2,3,2,2,0,1,1,2,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,12,22,15,13,19,27,15,22,24,13,18,3,10,8,8,12,3,12,11,19,9,5,14,24,13,10,11,13,13,10,25,3,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,2807,4836,3786,3278,2385,2473,3489,3256,2691,4065,3804,2727,2437,2628,2181,2410,2811,2664,2832,2468,2902,1632,2728,3336,3679,3167,2392,2190,3168,3342,2481,3222,3444,2899,3267,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,6,5,4,4,5,6,4,6,6,5,5,5,4,4,5,5,5,4,5,3,5,5,5,5,4,4,5,5,4,5,5,5,5,1
4030026,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,1,1,1,0,1,0,2,0,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,1,1,2,4,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,12,2,9,5,10,9,23,13,11,16,8,23,8,25,4,11,10,7,9,5,21,18,29,14,18,9,22,7,8,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,2998,3657,3607,3543,2187,2461,3588,4456,2427,4002,3817,2965,2942,2787,2794,2762,2777,2774,3059,2274,2060,2905,2820,2891,2795,2933,1474,2255,3234,2850,2347,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,6,5,4,4,5,6,4,7,6,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,3,4,5,4,4,3,0,0,0,0
4030028,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,2,1,1,0,1,2,1,2,2,1,1,2,3,2,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,2,2,4,4,4,2,4,2,3,4,3,3,4,1,3,0,0,4,3,3,5,4,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,13,16,12,13,18,19,19,11,18,27,26,28,37,45,51,50,46,64,35,45,33,18,39,48,40,70,49,47,18,29,30,16,39,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,3048,3248,3245,2630,3676,3623,3558,3023,3898,3513,3899,3058,3492,3505,3255,3957,3430,3479,3876,2410,3756,2787,2282,3891,3399,2881,3913,4011,3410,2158,2846,2703,2959,4206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,4,7,6,6,5,6,5,6,5,5,6,5,6,5,6,6,4,6,5,4,6,5,4,7,6,6,4,5,5,5,5,1
